"unitid","stabbr"
100654,"AL"
100663,"AL"
100706,"AL"
100724,"AL"
100733,"AL"
100751,"AL"
100812,"AL"
100830,"AL"
100858,"AL"
101480,"AL"
101587,"AL"
101709,"AL"
101879,"AL"
102094,"AL"
114433,"CA"
122782,"CA"
122977,"CA"
110671,"CA"
110680,"CA"
110699,"CA"
110705,"CA"
123563,"CA"
123572,"CA"
137759,"FL"
102368,"AL"
102553,"AK"
102614,"AK"
102632,"AK"
103529,"AK"
104151,"AZ"
104179,"AZ"
104708,"AZ"
105145,"AZ"
105297,"AZ"
105330,"AZ"
105668,"AZ"
106148,"AZ"
106245,"AR"
106263,"AR"
106397,"AR"
106412,"AR"
106458,"AR"
106467,"AR"
106485,"AR"
106704,"AR"
107071,"AR"
107983,"AR"
108056,"AR"
108092,"AR"
109350,"CA"
109819,"CA"
110398,"CA"
110422,"CA"
110486,"CA"
110495,"CA"
110501,"CA"
110510,"CA"
110529,"CA"
110538,"CA"
110547,"CA"
110556,"CA"
110565,"CA"
110574,"CA"
110583,"CA"
110592,"CA"
110608,"CA"
110617,"CA"
110635,"CA"
110644,"CA"
110653,"CA"
110662,"CA"
110714,"CA"
111188,"CA"
113236,"CA"
114716,"CA"
114831,"CA"
125471,"CA"
126100,"CA"
126182,"CO"
126207,"CO"
126289,"CO"
126562,"CO"
126580,"CO"
134608,"FL"
115755,"CA"
117681,"CA"
118912,"CA"
118976,"CA"
119678,"CA"
120023,"CA"
121619,"CA"
121886,"CA"
122320,"CA"
122375,"CA"
122409,"CA"
122597,"CA"
122755,"CA"
123299,"CA"
123509,"CA"
124557,"CA"
126614,"CO"
126711,"CO"
126775,"CO"
126818,"CO"
126942,"CO"
127185,"CO"
127200,"CO"
127556,"CO"
127565,"CO"
127617,"CO"
127741,"CO"
127820,"CO"
127884,"CO"
127909,"CO"
128106,"CO"
128258,"CO"
128300,"CO"
128328,"CO"
128391,"CO"
128771,"CT"
128780,"CT"
129020,"CT"
129215,"CT"
130493,"CT"
130624,"CT"
130776,"CT"
130882,"DE"
130907,"DE"
130934,"DE"
130943,"DE"
131399,"DC"
132693,"FL"
132709,"FL"
132851,"FL"
132903,"FL"
133021,"FL"
133386,"FL"
133508,"FL"
133650,"FL"
133669,"FL"
133702,"FL"
133951,"FL"
133960,"FL"
134097,"FL"
134130,"FL"
138354,"FL"
155317,"KS"
155399,"KS"
134343,"FL"
134495,"FL"
135160,"FL"
135188,"FL"
139250,"GA"
139311,"GA"
139366,"GA"
139463,"GA"
139621,"GA"
135391,"FL"
135717,"FL"
136145,"FL"
136172,"FL"
136233,"FL"
136358,"FL"
136400,"FL"
136473,"FL"
136516,"FL"
137078,"FL"
137096,"FL"
137209,"FL"
137281,"FL"
137315,"FL"
137351,"FL"
138187,"FL"
138558,"GA"
138716,"GA"
138901,"GA"
139700,"GA"
139719,"GA"
139755,"GA"
139764,"GA"
139861,"GA"
139931,"GA"
139940,"GA"
139959,"GA"
139968,"GA"
140960,"GA"
141264,"GA"
141334,"GA"
141565,"HI"
141574,"HI"
141839,"HI"
141963,"HI"
161873,"MD"
162007,"MD"
141981,"HI"
142115,"ID"
142276,"ID"
142285,"ID"
142328,"ID"
142559,"ID"
147703,"IL"
151360,"IN"
151379,"IN"
151388,"IN"
159966,"LA"
159993,"LA"
160038,"LA"
144005,"IL"
144892,"IL"
145336,"IL"
145600,"IL"
145637,"IL"
145813,"IL"
147776,"IL"
148654,"IL"
149222,"IL"
149231,"IL"
149240,"IL"
149587,"IL"
149772,"IL"
150136,"IN"
151102,"IN"
151111,"IN"
151306,"IN"
151324,"IN"
151333,"IN"
151342,"IN"
151351,"IN"
152637,"IN"
153603,"IA"
153658,"IA"
154095,"IA"
155025,"KS"
155061,"KS"
155140,"KS"
155681,"KS"
163453,"MD"
175078,"MN"
178615,"MO"
178624,"MO"
182281,"NV"
182290,"NV"
182306,"NV"
182500,"NV"
182519,"NV"
182564,"NV"
182829,"NH"
156082,"KS"
156125,"KS"
156620,"KY"
157058,"KY"
157085,"KY"
157289,"KY"
157386,"KY"
157401,"KY"
157447,"KY"
157951,"KY"
159009,"LA"
159373,"LA"
159382,"LA"
159391,"LA"
159416,"LA"
159647,"LA"
159717,"LA"
159939,"LA"
160533,"LA"
160612,"LA"
160621,"LA"
160630,"LA"
160658,"LA"
161217,"ME"
161226,"ME"
161235,"ME"
161253,"ME"
161280,"ME"
161299,"ME"
161341,"ME"
161554,"ME"
162283,"MD"
162584,"MD"
163204,"MD"
163259,"MD"
163268,"MD"
163286,"MD"
163338,"MD"
173920,"MN"
176372,"MS"
186876,"NJ"
187046,"NJ"
187134,"NJ"
187444,"NJ"
187596,"NM"
190512,"NY"
163851,"MD"
163912,"MD"
164076,"MD"
164146,"MD"
164155,"MD"
165024,"MA"
171571,"MI"
175272,"MN"
175342,"MS"
178341,"MO"
181464,"NE"
181534,"NE"
181747,"NE"
165820,"MA"
165866,"MA"
166513,"MA"
166629,"MA"
166638,"MA"
166665,"MA"
166674,"MA"
166692,"MA"
166708,"MA"
167288,"MA"
167525,"MA"
167729,"MA"
167987,"MA"
168263,"MA"
168430,"MA"
168607,"MI"
169248,"MI"
169798,"MI"
169910,"MI"
170082,"MI"
170240,"MI"
170444,"MI"
170639,"MI"
170976,"MI"
171100,"MI"
171128,"MI"
171137,"MI"
171146,"MI"
171456,"MI"
171483,"MI"
172051,"MI"
172200,"MI"
172644,"MI"
172699,"MI"
173124,"MN"
174020,"MN"
174066,"MN"
174075,"MN"
174233,"MN"
174251,"MN"
174358,"MN"
174783,"MN"
175616,"MS"
175856,"MS"
175999,"MS"
176017,"MS"
176035,"MS"
176044,"MS"
176080,"MS"
176965,"MO"
177472,"MO"
177551,"MO"
177940,"MO"
178387,"MO"
178396,"MO"
178402,"MO"
178411,"MO"
178420,"MO"
178439,"MO"
179308,"MO"
179557,"MO"
179566,"MO"
180179,"MT"
180203,"MT"
180416,"MT"
180461,"MT"
180489,"MT"
180522,"MT"
180647,"MT"
180692,"MT"
180948,"NE"
181215,"NE"
181394,"NE"
181419,"NE"
181428,"NE"
181783,"NE"
182005,"NV"
183044,"NH"
183062,"NH"
190549,"NY"
190558,"NY"
190567,"NY"
204699,"OH"
204705,"OH"
204796,"OH"
204802,"OH"
213598,"PA"
183071,"NH"
183080,"NH"
183257,"NH"
183327,"NH"
184782,"NJ"
185129,"NJ"
185262,"NJ"
185590,"NJ"
185828,"NJ"
186201,"NJ"
186371,"NJ"
186380,"NJ"
186399,"NJ"
187648,"NM"
187745,"NM"
187897,"NM"
187967,"NM"
187985,"NM"
188030,"NM"
188058,"NM"
188304,"NM"
190035,"NY"
190576,"NY"
190594,"NY"
190600,"NY"
190637,"NY"
190646,"NY"
190655,"NY"
190664,"NY"
190682,"NY"
190691,"NY"
191126,"NY"
196200,"NY"
196219,"NY"
196228,"NY"
196237,"NY"
200004,"NC"
200022,"ND"
200059,"ND"
200086,"ND"
200226,"ND"
200253,"ND"
200280,"ND"
200332,"ND"
203465,"OH"
203474,"OH"
203483,"OH"
203492,"OH"
195827,"NY"
196006,"NY"
196015,"NY"
196024,"NY"
196033,"NY"
196042,"NY"
196051,"NY"
196060,"NY"
196079,"NY"
196088,"NY"
196097,"NY"
196103,"NY"
196112,"NY"
196121,"NY"
196130,"NY"
196149,"NY"
196158,"NY"
196167,"NY"
196176,"NY"
196185,"NY"
196194,"NY"
196246,"NY"
196255,"NY"
196264,"NY"
196291,"NY"
196307,"NY"
197027,"NY"
197036,"NY"
197869,"NC"
204866,"OH"
207865,"OK"
198464,"NC"
198507,"NC"
198543,"NC"
199102,"NC"
199111,"NC"
199120,"NC"
199139,"NC"
199148,"NC"
199157,"NC"
199175,"NC"
199184,"NC"
199193,"NC"
199218,"NC"
199281,"NC"
199999,"NC"
200466,"ND"
200572,"ND"
200697,"OH"
200800,"OH"
201432,"OH"
201441,"OH"
201672,"OH"
201690,"OH"
201885,"OH"
201928,"OH"
201946,"OH"
201955,"OH"
201973,"OH"
202134,"OH"
203447,"OH"
203456,"OH"
203517,"OH"
203526,"OH"
203678,"OH"
203748,"OH"
203881,"OH"
204006,"OH"
204015,"OH"
204024,"OH"
204255,"OH"
204422,"OH"
204477,"OH"
204671,"OH"
204680,"OH"
204820,"OH"
204839,"OH"
204848,"OH"
204857,"OH"
205443,"OH"
205470,"OH"
206084,"OH"
206446,"OH"
206604,"OH"
206613,"OH"
206695,"OH"
206914,"OK"
206941,"OK"
207041,"OK"
207209,"OK"
207263,"OK"
207306,"OK"
207315,"OK"
207342,"OK"
207351,"OK"
207388,"OK"
207397,"OK"
207500,"OK"
207564,"OK"
