stabbr,year,weighted_in_state,weighted_out_of_state,inst_count,total_in_state_enr,total_out_state_enr
AK,2012,5089.845402766477,16755,5,2458,222
AL,2012,4945.119912881145,18267.225338491295,40,32140,6204
AR,2012,4204.665527215357,12959.192038333947,35,15212,2713
AS,2012,2660,NA,1,289,0
AZ,2012,7551.869916414975,18857.212075158885,24,14237,7238
CA,2012,3899.4940575338765,13169.435054184227,146,177704,13288
CO,2012,5050.025454390669,20392.890576988735,28,23493,5858
CT,2012,4596.492757547042,21464.586456278765,23,14774,1521
DC,2012,6380,13380,1,204,99
DE,2012,5432.400778210117,22841.372443848475,5,4112,2983
FL,2012,2945.5441911266225,13171.054164770141,50,79654,4394
FM,2012,3780,NA,1,572,0
GA,2012,3269.2334204535873,16116.637599763524,62,59305,3383
GU,2012,4560,4320,2,434,10
HI,2012,4058.92969227634,16868.318054256313,10,4907,1069
IA,2012,4692.8343649418175,16162.767009624959,19,20195,6026
ID,2012,3840.0784244144784,13992.23593220339,8,5636,1475
IL,2012,8550.425970641218,20006.985216072782,60,26091,2638
IN,2012,5831.011238409632,25180.792735359526,31,41198,6745
KS,2012,4412.689698971168,11343.05105105105,32,15746,3663
KY,2012,5835.794488711819,17035.407159904535,24,24096,4190
LA,2012,3355.3293044799884,6626.495019157088,34,27634,2610
MA,2012,1129.695530726257,9208.269406392694,29,25060,2847
MD,2012,5854.804426559356,15774.288431061806,29,12425,4417
ME,2012,5553.78606543482,18648.042857142857,15,5899,840
MH,2012,4280,NA,1,230,0
MI,2012,9016.917125403572,29073.469919786097,47,43053,5984
MN,2012,6598.910641493242,11860.015237020316,43,27966,5316
MO,2012,5533.6236376318775,15294.842850510679,33,22938,4308
MP,2012,2280,4560,1,256,2
MS,2012,3769.7527784254294,11257.087276067983,24,12867,4354
MT,2012,4286.273811891032,17574.57986326911,17,5029,1609
NC,2012,2910.6938589178676,15079.1012392755,75,50382,5245
ND,2012,4501.699022179823,14535.044975804156,14,4193,3513
NE,2012,4210.622189167906,13473.40514905149,15,11429,1476
NH,2012,9004.120889938964,21103.43515151515,12,5079,2475
NJ,2012,7977.345195384466,14907.546070460705,33,20626,1476
NM,2012,3816.3342734354014,11243.265072247135,28,7446,2007
NV,2012,4250.703359365316,16496.251706484643,7,8067,1172
NY,2012,4716.749820383081,10857.335805674022,80,65417,5393
OH,2012,6800.148520633273,18662.741807651273,63,61648,6561
OK,2012,3045.305788307811,12226.926986399427,28,20766,4191
OR,2012,5319.780992080034,21013.795109211776,26,11995,4212
PA,2012,9495.609791183295,20431.293255131965,58,43100,10571
PR,2012,1734.5476289086766,3824,19,9658,2
PW,2012,2640,3000,1,96,3
RI,2012,6204.456091954023,24312.92116788321,3,4350,1370
SC,2012,7909.871683673469,16675.63159886471,33,15680,5285
SD,2012,3189.540505226481,5169.851190476191,12,4592,1680
TN,2012,4579.446425366437,19025.595526561043,22,33430,2146
TX,2012,4498.44427204853,10771.757111224664,107,85720,5871
UT,2012,3898.710522867252,14579.386084583903,9,15262,2932
VA,2012,6332.220003182686,20919.942255870654,41,25136,7793
VI,2012,3990,11970,1,404,23
VT,2012,9656.2370039128,29703.94887089902,6,1789,2347
WA,2012,7337.375456450165,21593.309604904633,44,16705,2936
WI,2012,6242.322515839901,18017.46564636926,31,25884,6142
WV,2012,3982.331853998732,14569.79128814349,26,11041,4293
WY,2012,2059.36335078534,7242.818181818182,8,1910,1232
AK,2013,5449.946280991736,17925,5,2420,250
AL,2013,5295.8934209678455,20121.81293624942,40,31038,6447
AR,2013,4355.232388924662,14097.270878949015,35,15530,3197
AS,2013,3150,3450,1,430,18
AZ,2013,8040.134417867236,19419.9100363363,24,14507,7981
CA,2013,4306.591390628799,16169.417230769232,145,172742,14625
CO,2013,5305.8881330309905,22616.023914823916,29,22491,6105
CT,2013,4869.7651146629605,23346.973684210527,22,14390,1368
DC,2013,6624,13920,1,292,35
DE,2013,5786.416567483932,24386.840579710144,5,4201,3519
FL,2013,3129.187321588008,13684.978789323164,46,79521,4196
FM,2013,3780,NA,1,562,0
GA,2013,3772.1084829167366,17228.514053897423,62,53649,3451
GU,2013,4560,9864,2,449,10
HI,2013,4419.863808322824,17904.582827406764,10,4758,1153
IA,2013,4943.3521781429035,16850.288822323822,19,18502,6343
ID,2013,4087.157931516422,14164.320456540825,8,5724,1139
IL,2013,9052.944420906675,21931.987446197993,60,25963,2788
IN,2013,6267.511336790942,26616.951110527007,18,36827,7609
KS,2013,4620.297102809586,12242.20289079229,32,15981,3736
KY,2013,6226.8053433448295,17786.431647713525,24,22907,4133
LA,2013,3643.020145044319,7701.135634028892,34,27302,2492
MA,2013,1122.249464579901,9255.96674584323,29,24280,2947
MD,2013,6060.339998347517,16999.80023364486,29,12103,4280
ME,2013,5583.176245210728,19568.53629976581,15,5742,854
MH,2013,4280,NA,1,361,0
MI,2013,9357.82332289591,30213.41363916256,47,42156,6496
MN,2013,6922.784149710151,13206.291470532857,43,25703,5311
MO,2013,5757.507398807084,16493.831569664904,29,21963,4536
MP,2013,2280,4560,1,272,3
MS,2013,4017.168058930741,12696.132059971247,24,13168,4869
MT,2013,4364.611446409989,18335.119899560577,17,4805,1593
NC,2013,3189.1023112355674,16046.02968388589,75,49281,5188
ND,2013,4600.1990437846,14144.878603544035,14,3974,3781
NE,2013,4370.982946554149,13400.592568015925,15,11376,1507
NH,2013,9998.394798550416,21888.855417138544,12,4691,2649
NJ,2013,8240.986564666508,17115.48973607038,33,20915,1364
NM,2013,3929.3802620574297,11759.509099852436,28,7174,2033
NV,2013,4679.676351896691,17147.66529266282,7,7434,1213
NY,2013,5015.876251280839,11971.597153989496,80,63435,5903
OH,2013,7256.358791564013,19248.458939149165,63,57231,7428
OK,2013,3219.79689276241,13037.21272613849,28,21112,4809
OR,2013,5714.775833976503,21738.218629343628,26,11661,4144
PA,2013,9718.764456547478,21213.99044048735,59,42230,10670
PR,2013,1656.4219799581545,3858,19,9081,3
PW,2013,2640,NA,1,105,0
RI,2013,6611.8414906832295,25349.536697247706,3,4025,1744
SC,2013,8065.892390085938,16136.553452115813,33,16058,5388
SD,2013,3526.1045767133032,5824.630289532294,12,4217,1796
TN,2013,4911.0447566357925,20195.650253106305,22,32174,2173
TX,2013,4770.933201768053,11266.764557758892,107,86649,6354
UT,2013,4255.429011682076,15288.621472814866,8,13953,2906
VA,2013,6613.656010771302,22103.75640208944,41,25995,7849
VI,2013,3990,11970,1,381,19
VT,2013,10252.705061082024,30443.766738660906,6,1719,2315
WA,2013,8539.575800711744,23810.083002907744,44,16860,3783
WI,2013,6660.883232580337,18480.161207450226,31,25144,6228
