ZCTA,year,Real_GDP_per_capita_ZCTA,Unemployment_Rate_ZCTA
01001,2012,46638.46311887651,8.6
01001,2013,46887.48964091348,8.6
01001,2014,46737.251931783365,7.6
01001,2015,47850.054913245585,6.4
01001,2016,48025.631339808395,5.5
01001,2017,47305.61860127468,5.3
01001,2018,47556.85527805556,4.9
01001,2019,48816.52362813696,4.3
01001,2020,48444.87119215723,10.9
01001,2021,50514.030347570464,6.8
01001,2022,50165.95657073509,4.8
01001,2023,50458.69975418066,4.5
01001,2024,51050.884302737686,5.1
01001,2025,51050.884302737686,5.1
01001,2026,51050.884302737686,5.1
01002,2012,42665.01708560509,5.80372
01002,2013,42979.38228269019,6.00124
01002,2014,43026.174198492256,5.3
01002,2015,45162.19318092126,4.498760000000001
01002,2016,45712.089134858514,3.9987600000000003
01002,2017,46955.88254029388,3.7
01002,2018,47389.37805426947,3.2012400000000003
01002,2019,48151.996424176265,2.90124
01002,2020,50589.5710428348,7.7111600000000005
01002,2021,46067.35021244474,4.8049599999999995
01002,2022,46694.15613172479,3.5012399999999997
01002,2023,47575.19356758108,3.2000000000000006
01002,2024,48494.504563787,3.7975199999999996
01002,2025,48494.504563787,3.7975199999999996
01002,2026,48494.504563787,3.7975199999999996
01003,2012,42723.73703111288,5.8
01003,2013,43031.05636292588,6.0
01003,2014,43082.60012887875,5.3
01003,2015,45224.712483337986,4.5
01003,2016,45775.14774648061,4.0
01003,2017,47051.86931210057,3.7
01003,2018,47470.60059837302,3.2
01003,2019,48240.00887141986,2.9
01003,2020,50701.61990456898,7.7
01003,2021,46128.976367458454,4.8
01003,2022,46779.119331064045,3.5
01003,2023,47624.548845406374,3.2
01003,2024,48590.28168247692,3.8
01003,2025,48590.28168247692,3.8
01003,2026,48590.28168247692,3.8
01005,2012,49503.20868617011,7.2
01005,2013,49753.465125988536,7.1
01005,2014,49824.2061482821,6.1
01005,2015,50633.65697884574,5.1
01005,2016,50742.53986982834,4.2
01005,2017,50081.54238569534,4.0
01005,2018,50719.27941829745,3.6
01005,2019,51172.888251195385,3.3
01005,2020,50572.701646964386,9.1
01005,2021,53397.046813881294,5.4
01005,2022,54000.79239028109,3.8
01005,2023,54182.7676718839,3.6
01005,2024,54656.63354696975,4.1
01005,2025,54656.63354696975,4.1
01005,2026,54656.63354696975,4.1
01007,2012,42723.73703111288,5.8
01007,2013,43031.05636292588,6.0
01007,2014,43082.60012887875,5.3
01007,2015,45224.712483337986,4.5
