stabbr,year,top_20,top_50,top_100,top_150
AL,2012,0,0,2,3
AL,2013,0,0,2,2
AL,2014,0,0,2,2
AL,2015,0,0,1,3
AL,2016,0,0,1,3
AL,2017,0,0,1,2
AL,2018,0,0,0,2
AL,2019,0,0,0,2
AL,2020,0,0,0,1
AL,2021,0,0,1,2
AL,2022,0,0,1,3
AL,2023,0,0,1,3
AL,2024,0,0,1,2
AR,2012,0,0,0,1
AR,2013,0,0,0,1
AR,2014,0,0,0,1
AR,2015,0,0,0,1
AR,2016,0,0,0,1
AR,2017,0,0,0,1
AR,2018,0,0,0,1
AR,2019,0,0,0,0
AR,2020,0,0,0,0
AR,2021,0,0,0,0
AR,2024,0,0,0,0
AZ,2012,0,0,0,2
AZ,2013,0,0,0,2
AZ,2014,0,0,0,2
AZ,2015,0,0,0,2
AZ,2016,0,0,0,2
AZ,2017,0,0,0,2
AZ,2018,0,0,0,2
AZ,2019,0,0,0,2
AZ,2020,0,0,0,2
AZ,2021,0,0,1,2
AZ,2022,0,0,0,2
AZ,2023,0,0,0,2
AZ,2024,0,0,0,2
CA,2012,0,6,8,8
CA,2013,0,6,7,8
CA,2014,1,6,7,8
CA,2015,1,6,7,9
CA,2016,1,6,7,9
CA,2017,1,6,7,9
CA,2018,0,6,7,9
CA,2019,1,6,8,10
CA,2020,1,6,8,10
CA,2021,1,6,9,10
CA,2022,1,6,8,10
CA,2023,2,6,9,10
CA,2024,2,6,9,12
CO,2012,0,0,2,3
CO,2013,0,0,2,3
CO,2014,0,0,2,3
CO,2015,0,0,2,3
CO,2016,0,0,2,3
CO,2017,0,0,2,3
CO,2018,0,0,2,3
CO,2019,0,0,2,3
CO,2020,0,0,1,2
CO,2021,0,0,1,2
CO,2022,0,0,2,3
CO,2023,0,0,2,2
CO,2024,0,0,1,2
CT,2012,0,0,1,1
CT,2013,0,0,1,1
CT,2014,0,0,1,1
CT,2015,0,0,1,1
CT,2016,0,0,1,1
CT,2017,0,0,1,1
CT,2018,0,0,1,1
CT,2019,0,0,1,1
CT,2020,0,0,1,1
CT,2021,0,0,1,1
CT,2022,0,0,1,1
CT,2023,0,0,1,1
CT,2024,0,0,1,1
DE,2012,0,0,1,1
DE,2013,0,0,1,1
DE,2014,0,0,1,1
DE,2015,0,0,1,1
DE,2016,0,0,1,1
DE,2017,0,0,1,1
DE,2018,0,0,1,1
DE,2019,0,0,1,1
DE,2020,0,0,1,1
DE,2021,0,0,1,1
DE,2022,0,0,1,1
DE,2023,0,0,1,1
DE,2024,0,0,1,1
FL,2012,0,0,1,2
FL,2013,0,0,2,2
FL,2014,0,1,2,2
FL,2015,0,1,2,2
FL,2016,0,1,2,2
FL,2017,0,1,2,2
FL,2018,0,1,2,3
FL,2019,0,1,2,3
FL,2020,0,1,2,3
FL,2021,0,1,2,3
FL,2022,0,1,2,4
FL,2023,0,1,3,4
FL,2024,0,1,3,4
GA,2012,0,1,2,2
GA,2013,0,1,2,2
GA,2014,0,1,2,2
GA,2015,0,1,2,2
GA,2016,0,1,2,2
GA,2017,0,1,2,2
GA,2018,0,1,2,2
GA,2019,0,2,2,2
GA,2020,0,2,2,2
GA,2021,0,2,2,2
GA,2022,0,2,2,2
GA,2023,0,2,2,2
GA,2024,0,2,2,2
IA,2012,0,0,2,2
IA,2013,0,0,1,2
IA,2014,0,0,1,2
IA,2015,0,0,1,2
IA,2016,0,0,1,2
IA,2017,0,0,1,2
IA,2018,0,0,1,2
IA,2019,0,0,1,2
IA,2020,0,0,1,2
IA,2021,0,0,1,2
IA,2022,0,0,1,2
IA,2023,0,0,1,2
IA,2024,0,0,1,2
IL,2012,0,1,1,2
IL,2013,0,1,1,2
IL,2014,0,1,1,2
IL,2015,0,1,1,3
IL,2016,0,1,1,3
IL,2017,0,1,1,1
IL,2018,0,0,1,2
IL,2019,0,1,1,2
IL,2020,0,1,1,2
IL,2021,0,1,1,2
IL,2022,0,1,1,2
IL,2023,0,1,2,2
IL,2024,0,1,2,2
IN,2012,0,0,2,2
IN,2013,0,0,2,2
IN,2014,0,0,2,2
IN,2015,0,0,2,2
IN,2016,0,0,2,2
IN,2017,0,0,2,2
IN,2018,0,0,2,2
IN,2019,0,0,2,2
IN,2020,0,0,2,2
IN,2021,0,0,2,2
IN,2022,0,1,2,2
IN,2023,0,0,2,2
IN,2024,0,1,2,2
KS,2012,0,0,0,2
KS,2013,0,0,0,2
