zcta,stab,border_dyad,S_i,dist_km,d_ic
24726,WV,MD-WV,0,249.59103412447018,-249.59103412447018
24808,WV,MD-WV,0,268.191832656949,-268.191832656949
24826,WV,MD-WV,0,283.42096682189765,-283.42096682189765
24872,WV,MD-WV,0,286.6172139365764,-286.6172139365764
24878,WV,MD-WV,0,272.0251510629902,-272.0251510629902
24957,WV,MD-WV,0,167.84226538225556,-167.84226538225556
25007,WV,MD-WV,0,228.13592634166122,-228.13592634166122
25048,WV,MD-WV,0,219.7025210830695,-219.7025210830695
25118,WV,MD-WV,0,199.7307447550358,-199.7307447550358
25132,WV,MD-WV,0,189.11364318171593,-189.11364318171593
25185,WV,MD-WV,0,186.73434811541145,-186.73434811541145
25244,WV,MD-WV,0,183.00903599613906,-183.00903599613906
25261,WV,MD-WV,0,143.72046370251638,-143.72046370251638
25523,WV,MD-WV,0,245.27102905023045,-245.27102905023045
25606,WV,MD-WV,0,258.7935009966251,-258.7935009966251
25840,WV,MD-WV,0,191.77781930568943,-191.77781930568943
25976,WV,MD-WV,0,193.4331071453408,-193.4331071453408
26037,WV,MD-WV,0,116.23524752547051,-116.23524752547051
26161,WV,MD-WV,0,151.16925343558623,-151.16925343558623
26257,WV,MD-WV,0,55.11705086055818,-55.11705086055818
26270,WV,MD-WV,0,45.038369183328626,-45.038369183328626
26327,WV,MD-WV,0,124.79629914214296,-124.79629914214296
26374,WV,MD-WV,0,33.927314007518994,-33.927314007518994
26430,WV,MD-WV,0,114.93405547863517,-114.93405547863517
26452,WV,MD-WV,0,90.02766518338017,-90.02766518338017
26591,WV,MD-WV,0,68.8228507902611,-68.8228507902611
26679,WV,MD-WV,0,162.34645519557785,-162.34645519557785
26855,WV,MD-WV,0,31.729187923447256,-31.729187923447256
26463,WV,MD-WV,0,73.932087777914,-73.932087777914
24993,WV,MD-WV,0,199.6045254269321,-199.6045254269321
24817,WV,MD-WV,0,290.5277624620638,-290.5277624620638
24822,WV,MD-WV,0,259.71919601814557,-259.71919601814557
24844,WV,MD-WV,0,277.17465422865456,-277.17465422865456
24857,WV,MD-WV,0,253.84860124536914,-253.84860124536914
24894,WV,MD-WV,0,290.62597727347526,-290.62597727347526
25009,WV,MD-WV,0,222.9080855489837,-222.9080855489837
25031,WV,MD-WV,0,194.89894079229063,-194.89894079229063
25126,WV,MD-WV,0,197.04354336726578,-197.04354336726578
25243,WV,MD-WV,0,181.24478845178606,-181.24478845178606
25248,WV,MD-WV,0,193.34281208472416,-193.34281208472416
25521,WV,MD-WV,0,241.53555554808386,-241.53555554808386
25526,WV,MD-WV,0,233.0226127807411,-233.0226127807411
25540,WV,MD-WV,0,257.0119411864133,-257.0119411864133
25661,WV,MD-WV,0,292.0336276928983,-292.0336276928983
25669,WV,MD-WV,0,293.0413605097975,-293.0413605097975
25801,WV,MD-WV,0,217.3038376447353,-217.3038376447353
25918,WV,MD-WV,0,210.01946484875901,-210.01946484875901
25938,WV,MD-WV,0,177.56904912352903,-177.56904912352903
26138,WV,MD-WV,0,146.6501622990325,-146.6501622990325
26175,WV,MD-WV,0,126.33463288253546,-126.33463288253546
25876,WV,MD-WV,0,244.28566013829789,-244.28566013829789
25969,WV,MD-WV,0,221.511013930301,-221.511013930301
26134,WV,MD-WV,0,152.80900118151933,-152.80900118151933
26146,WV,MD-WV,0,132.41175719541508,-132.41175719541508
26180,WV,MD-WV,0,160.86713395211487,-160.86713395211487
26254,WV,MD-WV,0,35.8497213100846,-35.8497213100846
26422,WV,MD-WV,0,80.83487406125333,-80.83487406125333
26541,WV,MD-WV,0,50.82222494513185,-50.82222494513185
26572,WV,MD-WV,0,71.31312121552213,-71.31312121552213
26617,WV,MD-WV,0,140.78775698765932,-140.78775698765932
26680,WV,MD-WV,0,173.07143866461476,-173.07143866461476
26802,WV,MD-WV,0,67.1583894933641,-67.1583894933641
25231,WV,MD-WV,0,192.92025167274892,-192.92025167274892
25909,WV,MD-WV,0,213.28062003223917,-213.28062003223917
25685,WV,MD-WV,0,290.9215645416379,-290.9215645416379
25421,WV,MD-WV,0,28.362502925944018,-28.362502925944018
24701,WV,MD-WV,0,260.53504081112555,-260.53504081112555
24716,WV,MD-WV,0,248.59027859536576,-248.59027859536576
24719,WV,MD-WV,0,249.93740603544117,-249.93740603544117
24731,WV,MD-WV,0,248.7607533769104,-248.7607533769104
24818,WV,MD-WV,0,257.29841304078667,-257.29841304078667
24884,WV,MD-WV,0,280.39146981361273,-280.39146981361273
24941,WV,MD-WV,0,196.34466353727746,-196.34466353727746
25045,WV,MD-WV,0,179.0151596388652,-179.0151596388652
25115,WV,MD-WV,0,189.92410409107856,-189.92410409107856
25306,WV,MD-WV,0,199.5668788756116,-199.5668788756116
25541,WV,MD-WV,0,241.99885203816254,-241.99885203816254
25550,WV,MD-WV,0,225.17082085005688,-225.17082085005688
25564,WV,MD-WV,0,232.2323667932732,-232.2323667932732
25671,WV,MD-WV,0,276.13937757324834,-276.13937757324834
25704,WV,MD-WV,0,277.05073363428755,-277.05073363428755
25853,WV,MD-WV,0,233.57245455527624,-233.57245455527624
25911,WV,MD-WV,0,218.87623173494646,-218.87623173494646
25958,WV,MD-WV,0,172.3208640765975,-172.3208640765975
26033,WV,MD-WV,0,94.41587704006191,-94.41587704006191
26136,WV,MD-WV,0,142.07941578789686,-142.07941578789686
26184,WV,MD-WV,0,159.2412574370547,-159.2412574370547
26287,WV,MD-WV,0,17.98388288936102,-17.98388288936102
26343,WV,MD-WV,0,88.9930347739259,-88.9930347739259
26377,WV,MD-WV,0,98.67103541006917,-98.67103541006917
26386,WV,MD-WV,0,78.41110162973237,-78.41110162973237
26576,WV,MD-WV,0,65.92657815624065,-65.92657815624065
26619,WV,MD-WV,0,117.51756255752402,-117.51756255752402
26866,WV,MD-WV,0,48.416120315896805,-48.416120315896805
24714,WV,MD-WV,0,243.21677899616063,-243.21677899616063
24729,WV,MD-WV,0,249.11917671456294,-249.11917671456294
24733,WV,MD-WV,0,246.50100090806234,-246.50100090806234
24747,WV,MD-WV,0,252.21100605239448,-252.21100605239448
24861,WV,MD-WV,0,263.06244415123757,-263.06244415123757
26615,WV,MD-WV,0,114.66690140744628,-114.66690140744628
26707,WV,MD-WV,0,2.4882823849622393,-2.4882823849622393
26808,WV,MD-WV,0,35.97813490770087,-35.97813490770087
25667,WV,MD-WV,0,293.73763799261667,-293.73763799261667
24985,WV,MD-WV,0,207.9005890932252,-207.9005890932252
20135,WV,MD-WV,0,29.37136954722072,-29.37136954722072
24712,WV,MD-WV,0,235.62952741646376,-235.62952741646376
24737,WV,MD-WV,0,258.58891983720434,-258.58891983720434
24801,WV,MD-WV,0,264.5777188345563,-264.5777188345563
24845,WV,MD-WV,0,274.80999884817084,-274.80999884817084
24870,WV,MD-WV,0,241.48419717818786,-241.48419717818786
25008,WV,MD-WV,0,214.15737847833884,-214.15737847833884
25040,WV,MD-WV,0,193.11106834811415,-193.11106834811415
25140,WV,MD-WV,0,229.4377884214789,-229.4377884214789
25234,WV,MD-WV,0,147.1517747486152,-147.1517747486152
25315,WV,MD-WV,0,212.0385164661076,-212.0385164661076
25401,WV,MD-WV,0,11.354013198305111,-11.354013198305111
25430,WV,MD-WV,0,15.20329134751975,-15.20329134751975
25503,WV,MD-WV,0,235.6325508342231,-235.6325508342231
25511,WV,MD-WV,0,280.2882966793009,-280.2882966793009
25567,WV,MD-WV,0,233.36261492999117,-233.36261492999117
25635,WV,MD-WV,0,265.1001382027714,-265.1001382027714
25652,WV,MD-WV,0,272.5228733847569,-272.5228733847569
25705,WV,MD-WV,0,263.1281552259771,-263.1281552259771
25839,WV,MD-WV,0,228.74624231357762,-228.74624231357762
26234,WV,MD-WV,0,86.0154661633791,-86.0154661633791
26294,WV,MD-WV,0,88.25159739242393,-88.25159739242393
26321,WV,MD-WV,0,104.2028933676004,-104.2028933676004
26325,WV,MD-WV,0,120.07311591984542,-120.07311591984542
26562,WV,MD-WV,0,82.74622260796629,-82.74622260796629
26681,WV,MD-WV,0,152.4232639114499,-152.4232639114499
26764,WV,MD-WV,0,6.578935069493333,-6.578935069493333
26865,WV,MD-WV,0,36.678438320392125,-36.678438320392125
24604,WV,MD-WV,0,286.02575542187475,-286.02575542187475
24724,WV,MD-WV,0,262.7531564145248,-262.7531564145248
24827,WV,MD-WV,0,248.63875820416004,-248.63875820416004
24836,WV,MD-WV,0,272.63492389964495,-272.63492389964495
24866,WV,MD-WV,0,285.4708951522685,-285.4708951522685
24938,WV,MD-WV,0,162.9745870230247,-162.9745870230247
24963,WV,MD-WV,0,227.49565993242152,-227.49565993242152
25024,WV,MD-WV,0,218.6455394733135,-218.6455394733135
25081,WV,MD-WV,0,233.58792002476216,-233.58792002476216
25093,WV,MD-WV,0,232.14944931101647,-232.14944931101647
25113,WV,MD-WV,0,151.47891928684314,-151.47891928684314
25125,WV,MD-WV,0,177.4016148570232,-177.4016148570232
25159,WV,MD-WV,0,212.39739036464755,-212.39739036464755
25204,WV,MD-WV,0,233.40079708298404,-233.40079708298404
25267,WV,MD-WV,0,130.741746988495,-130.741746988495
25276,WV,MD-WV,0,165.10481719426326,-165.10481719426326
24868,WV,MD-WV,0,259.6260578769,-259.6260578769
24869,WV,MD-WV,0,273.55678894723195,-273.55678894723195
24916,WV,MD-WV,0,180.9552799176176,-180.9552799176176
24945,WV,MD-WV,0,213.5916212951635,-213.5916212951635
24970,WV,MD-WV,0,185.95819202457608,-185.95819202457608
25049,WV,MD-WV,0,217.1710830854566,-217.1710830854566
25085,WV,MD-WV,0,187.20710933297227,-187.20710933297227
25103,WV,MD-WV,0,199.59076778379315,-199.59076778379315
25205,WV,MD-WV,0,239.06544441079902,-239.06544441079902
25239,WV,MD-WV,0,205.76486280367882,-205.76486280367882
25303,WV,MD-WV,0,211.71395683175496,-211.71395683175496
25427,WV,MD-WV,0,11.038323241028044,-11.038323241028044
25446,WV,MD-WV,0,20.07599571690859,-20.07599571690859
25507,WV,MD-WV,0,278.72854962382337,-278.72854962382337
25637,WV,MD-WV,0,266.8656326806305,-266.8656326806305
25672,WV,MD-WV,0,291.1030646984711,-291.1030646984711
25844,WV,MD-WV,0,225.65927339683537,-225.65927339683537
25922,WV,MD-WV,0,239.3555516590626,-239.3555516590626
