zcta,stab,border_dyad,segment_id,S_i,dist_km,d_ic
24726,WV,MD-WV,MD-WV_173,0,249.59103412447016,-249.59103412447016
24808,WV,MD-WV,MD-WV_173,0,268.191832656949,-268.191832656949
24826,WV,MD-WV,MD-WV_173,0,283.42096682189765,-283.42096682189765
24872,WV,MD-WV,MD-WV_173,0,286.6172139365764,-286.6172139365764
24878,WV,MD-WV,MD-WV_173,0,272.0251510629902,-272.0251510629902
24957,WV,MD-WV,MD-WV_173,0,167.84226538225556,-167.84226538225556
25007,WV,MD-WV,MD-WV_173,0,228.1359263416612,-228.1359263416612
25048,WV,MD-WV,MD-WV_173,0,219.7025210830695,-219.7025210830695
25118,WV,MD-WV,MD-WV_173,0,199.7307447550358,-199.7307447550358
25132,WV,MD-WV,MD-WV_173,0,189.11364318171596,-189.11364318171596
25185,WV,MD-WV,MD-WV_173,0,186.73434811541145,-186.73434811541145
25244,WV,MD-WV,MD-WV_173,0,183.00903599613903,-183.00903599613903
25261,WV,MD-WV,MD-WV_173,0,143.72046370251638,-143.72046370251638
25523,WV,MD-WV,MD-WV_173,0,245.27102905023045,-245.27102905023045
25606,WV,MD-WV,MD-WV_173,0,258.7935009966251,-258.7935009966251
25840,WV,MD-WV,MD-WV_173,0,191.77781930568943,-191.77781930568943
25976,WV,MD-WV,MD-WV_173,0,193.4331071453408,-193.4331071453408
26037,WV,MD-WV,MD-WV_007,0,116.23524752547053,-116.23524752547053
26161,WV,MD-WV,MD-WV_173,0,151.16925343558623,-151.16925343558623
26257,WV,MD-WV,MD-WV_173,0,55.11705086055818,-55.11705086055818
26270,WV,MD-WV,MD-WV_173,0,45.03836918332863,-45.03836918332863
26327,WV,MD-WV,MD-WV_173,0,124.79629914214296,-124.79629914214296
26374,WV,MD-WV,MD-WV_096,0,33.927314007518994,-33.927314007518994
26430,WV,MD-WV,MD-WV_173,0,114.93405547863516,-114.93405547863516
26452,WV,MD-WV,MD-WV_173,0,90.02766518338017,-90.02766518338017
26591,WV,MD-WV,MD-WV_094,0,68.8228507902611,-68.8228507902611
26679,WV,MD-WV,MD-WV_173,0,162.34645519557785,-162.34645519557785
26855,WV,MD-WV,MD-WV_174,0,31.729187923447256,-31.729187923447256
26463,WV,MD-WV,MD-WV_100,0,73.932087777914,-73.932087777914
24993,WV,MD-WV,MD-WV_173,0,199.6045254269321,-199.6045254269321
24817,WV,MD-WV,MD-WV_173,0,290.5277624620638,-290.5277624620638
24822,WV,MD-WV,MD-WV_173,0,259.7191960181456,-259.7191960181456
24844,WV,MD-WV,MD-WV_173,0,277.17465422865456,-277.17465422865456
24857,WV,MD-WV,MD-WV_173,0,253.84860124536917,-253.84860124536917
24894,WV,MD-WV,MD-WV_173,0,290.62597727347526,-290.62597727347526
25009,WV,MD-WV,MD-WV_173,0,222.9080855489837,-222.9080855489837
25031,WV,MD-WV,MD-WV_173,0,194.89894079229063,-194.89894079229063
25126,WV,MD-WV,MD-WV_173,0,197.04354336726576,-197.04354336726576
25243,WV,MD-WV,MD-WV_173,0,181.2447884517861,-181.2447884517861
25248,WV,MD-WV,MD-WV_173,0,193.34281208472416,-193.34281208472416
25521,WV,MD-WV,MD-WV_173,0,241.53555554808383,-241.53555554808383
25526,WV,MD-WV,MD-WV_173,0,233.0226127807411,-233.0226127807411
25540,WV,MD-WV,MD-WV_173,0,257.0119411864133,-257.0119411864133
25661,WV,MD-WV,MD-WV_173,0,292.0336276928983,-292.0336276928983
25669,WV,MD-WV,MD-WV_173,0,293.0413605097975,-293.0413605097975
25801,WV,MD-WV,MD-WV_173,0,217.3038376447353,-217.3038376447353
25918,WV,MD-WV,MD-WV_173,0,210.019464848759,-210.019464848759
25938,WV,MD-WV,MD-WV_173,0,177.56904912352903,-177.56904912352903
26138,WV,MD-WV,MD-WV_173,0,146.6501622990325,-146.6501622990325
26175,WV,MD-WV,MD-WV_075,0,126.33463288253546,-126.33463288253546
25876,WV,MD-WV,MD-WV_173,0,244.28566013829789,-244.28566013829789
25969,WV,MD-WV,MD-WV_173,0,221.511013930301,-221.511013930301
26134,WV,MD-WV,MD-WV_132,0,152.8090011815193,-152.8090011815193
26146,WV,MD-WV,MD-WV_094,0,132.41175719541508,-132.41175719541508
26180,WV,MD-WV,MD-WV_173,0,160.86713395211487,-160.86713395211487
26254,WV,MD-WV,MD-WV_173,0,35.8497213100846,-35.8497213100846
26422,WV,MD-WV,MD-WV_149,0,80.83487406125333,-80.83487406125333
26541,WV,MD-WV,MD-WV_020,0,50.82222494513185,-50.82222494513185
26572,WV,MD-WV,MD-WV_084,0,71.31312121552213,-71.31312121552213
